model,roc_auc,precision@0.5,recall@0.5,f1@0.5,cm@0.5,tuned_threshold_for_recall,precision@tuned,recall@tuned
logreg,0.7771654551315569,0.38722826086956524,0.7002457002457002,0.49868766404199477,"[[1142, 451], [122, 285]]",0.5363677044334684,0.41497659906396256,0.6535626535626535
random_forest,0.853526870476023,0.7698744769874477,0.4520884520884521,0.5696594427244582,"[[1538, 55], [223, 184]]",0.29,0.5698924731182796,0.6511056511056511
